Gender,Standard,Institute type,Siblings,Father's job,Mother's job,English,Learning progress,Learning habit maintenance,Teacher influence,Parent influence,Sibling influence,Peer influence,Self-learning motivation,Concentration power,Family support,Effective learning environment,Daily learning objectives,Learning resources,Communication and collaboration with friends
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Excellent,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,House wife,Good,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,House wife,Average,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Free,House wife,Good,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,Service,Good,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Average,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,Social siences,Excellent,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Average,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,Service,Good,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Average,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Three,Others,House wife,Good,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Neither agree nor disagree,Disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,Service,Good,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
